ID bài viết,ID Trang,Tên Trang,Tiêu đề,Mô tả,Thời lượng (giây),Thời gian đăng,Loại chú thích,Liên kết vĩnh viễn,Là nội dung đăng chéo,Là bài viết chia sẻ,Loại bài viết,Ngôn ngữ,Nhãn tùy chỉnh,Trạng thái nội dung được tài trợ,Bình luận về dữ liệu,Ngày,Lượt hiển thị,Số người tiếp cận,"Cảm xúc, bình luận và lượt chia sẻ",Cảm xúc,Bình luận,Lượt chia sẻ,Số phản hồi tiêu cực từ người dùng: Ẩn tất cả,Số phản hồi tiêu cực từ người dùng: Ẩn,Tổng số lượt click,Lượt click khác,Tổng số lượt click của người dùng khớp với đối tượng nhắm mục tiêu (Photo Click),Lượt click vào liên kết,Lượt hiển thị từ Bài viết tự nhiên,Lượt hiển thị từ Bài viết đã quảng cáo,Số người tiếp cận từ Bài viết tự nhiên,Số người tiếp cận từ Bài viết đã quảng cáo,Lượt xem video trong tối thiểu 3 giây,Lượt xem video trong tối thiểu 1 phút,Số người xem trong tối thiểu 3 giây,Số người xem trong tối thiểu 1 phút,Lượt xem video trong tối thiểu 3 giây từ Bài viết đã quảng cáo,Lượt xem video trong tối thiểu 3 giây từ Bài viết tự nhiên,Lượt xem video trong tối thiểu 1 phút từ Đề xuất,Lượt xem video trong tối thiểu 1 phút từ Lượt chia sẻ,Lượt xem video trong tối thiểu 1 phút từ Người theo dõi,Lượt xem video trong tối thiểu 1 phút từ Bài viết đã quảng cáo,Số Giây xem từ Đề xuất,Số Giây xem từ Lượt chia sẻ,Số Giây xem từ Người theo dõi,Số Giây xem từ Bài viết đã quảng cáo,Số Giây xem trung bình từ Đề xuất,Số Giây xem trung bình từ Lượt chia sẻ,Số Giây xem trung bình từ Người theo dõi,Số Giây xem trung bình từ Bài viết đã quảng cáo,Người dùng đã tương tác,Số phản hồi tiêu cực từ người dùng,Số phản hồi tiêu cực của người dùng,Số Giây xem,Số Giây xem trung bình,Thu nhập ước tính ((USD)),CPM quảng cáo ((USD)),Lượt hiển thị quảng cáo,"Lượt xem theo đối tượng liên quan nhất (F, 18-24)","Lượt xem theo đối tượng liên quan nhất (F, 25-34)","Lượt xem theo đối tượng liên quan nhất (F, 35-44)","Lượt xem theo đối tượng liên quan nhất (M, 18-24)","Lượt xem theo đối tượng liên quan nhất (M, 25-34)","Lượt xem theo đối tượng liên quan nhất (F, 45-54)","Lượt xem theo đối tượng liên quan nhất (M, 35-44)","Lượt xem theo đối tượng liên quan nhất (F, 55-64)","Lượt xem theo đối tượng liên quan nhất (M, 45-54)","Lượt xem theo đối tượng liên quan nhất (F, 65+)","Lượt xem theo đối tượng liên quan nhất (M, 65+)","Lượt xem theo đối tượng liên quan nhất (M, 55-64)"
9.20E+14,1.01E+14,Fanpage ,,"Thấy ảnh flex mà t mắc cở dùm luôn á 

#QueenOfTears",0,03/17/2024 19:00,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid02dXhUaASy3z9bRBz2sDTHwtKUxWHXucE75zwBJjyjXebAkGBZHGs5F857WbM2r5PBl,0,0,Ảnh,,,,,Trọn đời,51054,50773,,888,8,5,,,4382,3687,694,1,51054,0,50773,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4588,0,0,,,,,,,,,,,,,,,,,
9.21E+14,1.01E+14,Fanpage ,,Giá mà ngày nào chị cũng thế này thì Huyn Woo của chúng em có đỡ vả không 🫶,45,03/17/2024 20:28,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid0fDfGywhsPeT1u7E257KXCMt6BQp369Xa5SEU44xhPFUSD4KKafcKAyBYxcCPsmDtl,0,0,Video,,,,,Trọn đời,260960,258958,5934,5837,11,86,,,12647,12607,,40,260960,0,258958,0,152145,0,149628,0,0,152145,0,0,0,0,3087991.018,1800.295,266818.993,0,14.076,23.381,14.273,0,17030,0,0,3356610.306,14.093,0,0,0,51438,62247,16286,7527,7843,1063,1675,166,196,269,79,53
9.21E+14,1.01E+14,Fanpage ,,Vợ ông em có vẻ không phải dạng vừa đâu,84,03/17/2024 21:08,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid0GzmEZHxpcWZhEzLw36h931bmf937RsN39KNRnvLNPSAzeX7unXFdT721UL6XZaS3l,0,0,Video,,,,,Trọn đời,327529,315843,5643,5577,,55,1,1,28243,28184,,59,327529,0,315843,0,196016,67335,194769,67335,0,196016,0,0,0,0,7820586.347,1075.222,370011.265,0,27.203,10.44,27.183,0,31086,2,2,8191672.834,27.196,0,0,0,49415,89267,28161,10362,11268,1708,2803,248,310,327,117,60
9.21E+14,1.01E+14,Fanpage ,,"Ep 5 tuần sau kiểu :(
Nữ hoàng nước mắt là người xem 🤧",0,03/17/2024 20:57,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid04KtUEJiFmmPsygs5wDCDui1L3hWgSrwQ4gogaRfeSiaEQpWWEtVszxQ5ner6NYEel,0,0,Ảnh,,,,,Trọn đời,238227,234696,4230,4130,87,13,,2,17071,16220,850,1,238227,0,234696,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18083,2,2,,,,,,,,,,,,,,,,,
9.21E+14,1.01E+14,Fanpage ,,"[SPOIL EP 4] HyunWoo và Haein đã từng có con với nhau 

#QueenOfTears",0,03/18/2024 21:22,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid0c9eZ1bVE9VYBonSNMCjYZka3FehBLPTyEjCqgzYsaZyfoAscxuHE3w6jKGtAHiiPl,0,0,Ảnh,,,,,Trọn đời,113708,108932,2727,2678,43,6,,1,13886,13011,875,,113708,0,108932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15025,1,1,,,,,,,,,,,,,,,,,
9.21E+14,1.01E+14,Fanpage ,,Thời buổi bây giờ phải có 35 con bò mới cưới được elm,0,03/18/2024 21:57,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid02HPUfGzQgSfZLow4xX3oeFajZeLp5DRNHWkHJeoxCpNJsMwQBF6EUGr7R5ZVFz6iGl,0,0,Ảnh,,,,,Trọn đời,33857,33857,1825,1781,,8,,1,,683,269,,33857,0,33857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2511,1,1,,,,,,,,,,,,,,,,,
9.21E+14,1.01E+14,Fanpage ,,"Đã nghịn mà lại còn ngại...

#QueenOfTears",112,03/19/2024 07:56,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid02dued5fWZpCYfzWK8U3vgAxF2ZeHVxjdGrdS2bTP6Lsy66KWxoJ8pWbcQS5yYDrxql,0,0,Video,,,,,Trọn đời,813077,807927,14875,14556,83,236,5,2,52967,52783,,184,813077,0,807927,0,486112,125214,470948,123369,0,486102,0,0,0,0,16487123.89,3614.049,574805.854,0,23.253,6.706,20.96,0,61008,7,7,17065567.48,23.154,0,0,0,131330,181068,62417,44296,37282,4981,9080,647,945,767,403,210
9.21E+14,1.01E+14,Fanpage ,,DISPATCH TUNG ẢNH HẸN HÒ CỦA RYU YUN JEOL VÀ HAN SO HEE TẠI HAWAII 🔥,0,03/19/2024 08:40,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid0o36pPRN7yxWhspvJY9URub5n5mvvLEgTSJesyyQJq6tDvdd9S7K3bqjkiwdu2Jbrl,0,0,Ảnh,,,,,Trọn đời,149117,146770,6359,5854,477,28,,1,46664,26253,20409,2,149117,0,146770,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37517,1,1,,,,,,,,,,,,,,,,,
9.21E+14,1.01E+14,Fanpage ,,Phim đang cố gắng gửi tín hiệu đến con dân sao 🫣,0,03/19/2024 12:12,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid02GsZ6PTcS4sdtFnRBAjfNF1SSEbHKY87RYmKYNLB8y2pkocBKmYLJohLtHeZZDmsZl,0,0,Ảnh,,,,,Trọn đời,81262,81262,2188,2179,5,4,,,9063,3508,5555,,81262,0,81262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9132,0,0,,,,,,,,,,,,,,,,,
9.21E+14,1.01E+14,Fanpage ,,"🔥 HYERI BẤT NGỜ LÊN TIẾNG XIN LỖI. NGUYÊN VĂN CÔ CHIA SẺ NHƯ SAU:

""Xin chào. Tôi là Hyeri. Đầu tiên, tôi thành thật xin lỗi vì những đồn đoán, tranh cãi nảy sinh do cảm xúc cá nhân của tôi trong những ngày qua. Tôi không nghĩ là mình biết mỗi hành động nhỏ của bản thân sẽ có tác động như thế nào. Tôi chân thành xin lỗi bất cứ ai bị tôi làm ảnh hưởng.

Tháng 11 năm ngoái, một bài báo xuất hiện về việc chúng tôi đã chấm dứt mối quan hệ 8 năm. Quá trình này không phải là một quyết định được đưa ra trong một khoảng thời gian ngắn. Thậm chí ngay sau khi tin tức chia tay của chúng tôi được công bố, cả hai đã có cuộc nói về việc hãy đối thoại nhiều hơn. Tuy nhiên, chúng tôi đã không có bất kỳ liên lạc hay gặp gỡ nào kể từ cuộc trò chuyện đó.

Và sau khi đọc bài báo mới vào 4 tháng sau, có vẻ như cảm xúc của tôi lúc đó là của Lee Hyeri chứ không phải nữ diễn viên Lee Hyeri. Tôi xin lỗi một lần nữa vì đã gây ảnh hưởng do cảm xúc lúc đó.

Sở dĩ tôi không thể nói cho mọi người biết nguyên nhân hành vi của tôi mấy ngày qua là vì cuộc trò chuyện của chúng tôi quá riêng tư. Tôi nghĩ điều đó thực sự sẽ khiến tôi mệt mỏi hơn. Tôi cũng xin lỗi nếu điều này làm mọi người bối rối.

Từ giờ trở đi, tôi sẽ cẩn thận hơn trong lời nói và hành động của mình. Xin cảm ơn.

(Bài đăng này sẽ sớm bị xóa. Cảm ơn các bạn)"".",0,03/18/2024 14:39,N/A,https://www.facebook.com/FCHuongQuocvn/posts/pfbid02fv4tawhRJ3Efi4GmorJcQvqGc2vv3jWtUDU5KG9SfvaE63iN2wHcUFfuHLiJUFAfl,0,0,Ảnh,,,,,Trọn đời,227111,218420,2888,2655,209,24,2,1,29687,27730,1957,,227111,0,218420,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27088,3,3,,,,,,,,,,,,,,,,,
