LoaiBaiViet,TGĐang,SoNguoiTC,TongLC,TongNTT,TongCXBLCS
Ảnh,19:00,50773.0,4382.0,4588.0,6883.051666666666
Video,20:28,258958.0,12647.0,17030.0,5934.0
Video,21:08,315843.0,28243.0,31086.0,5643.0
Ảnh,20:57,234696.0,17071.0,18083.0,4230.0
Ảnh,21:22,108932.0,13886.0,15025.0,2727.0
Ảnh,21:57,33857.0,19025.241465445462,2511.0,1825.0
Video,07:56,807927.0,52967.0,61008.0,14875.0
Ảnh,08:40,146770.0,46664.0,37517.0,6359.0
Ảnh,12:12,81262.0,9063.0,9132.0,2188.0
Ảnh,14:39,218420.0,29687.0,27088.0,2888.0
Ảnh,18:02,102950.0,4127.0,5418.0,2471.0
Video,10:39,164058.0,8589.0,10940.0,4100.0
Video,14:49,431890.0,25413.0,31788.0,8780.0
Video,19:16,336040.0,25768.0,28001.0,5583.0
Ảnh,20:00,60677.0,2809.0,3808.0,1354.0
Ảnh,21:03,46039.0,2635.0,3808.0,1765.0
Video,10:59,56731.0,3034.0,3365.0,6883.051666666666
Ảnh,16:01,118050.0,11295.0,13300.0,5857.0
Ảnh,16:27,64657.0,7331.0,8092.0,3293.0
Ảnh,17:30,99504.0,5736.0,9801.0,5719.0
Ảnh,19:00,76916.0,19025.241465445462,6457.0,4760.0
Video,20:45,161619.0,12924.0,14023.0,2867.0
Ảnh,11:03,12573.0,19025.241465445462,1358.0,1136.0
Video,11:59,77034.0,2380.0,3159.0,1021.0
Ảnh,12:10,127635.0,11483.0,11572.0,3246.0
Video,16:36,683870.0,53934.0,67115.0,6883.051666666666
Ảnh,17:36,89147.0,5591.0,7754.0,4106.0
Video,18:50,216405.0,14157.0,15516.0,5046.0
Video,19:00,389986.0,21546.0,24993.0,6716.0
Ảnh,19:31,91777.0,5691.0,7789.0,3583.0
Ảnh,20:07,1020196.0,140477.0,154251.0,62710.0
Ảnh,20:31,40409.0,1040.0,1410.0,759.0
Ảnh,21:01,32931.0,19025.241465445462,2267.0,1714.0
Video,11:50,332136.0,23443.0,30383.0,11139.0
